Name	Rank	Source	Reference
Gemmatimonas aurantiaca	Genus	BgBS90	Allan et al. 2018
Micavibrio aeruginosavorus	Genus	BgBS90	Allan et al. 2018
Parabacteroides distasonis	Genus	BgBS90	Allan et al. 2018
Halobacteriovorax marinus	Genus	BgBS90	Allan et al. 2018
Pseudomonas	Genus	Caribbean and lab populations	Ducklow et al. 1979
Acinetobacter	Genus	Caribbean and lab populations	Ducklow et al. 1979
Aeromonas	Genus	Caribbean and lab populations	Ducklow et al. 1979
Enterobacteriaceae	Family	Caribbean and lab populations	Ducklow et al. 1979
Vibrio extorquens	Genus	Caribbean and lab populations	Ducklow et al. 1979
Pasteurella	Genus	Caribbean and lab populations	Ducklow et al. 1979
Pseudomonas	Genus	Caribbean populations	Ducklow et al. 1981
Acinetobacter	Genus	Caribbean populations	Ducklow et al. 1981
Aeromonas	Genus	Caribbean populations	Ducklow et al. 1981
Moraxella	Genus	Caribbean populations	Ducklow et al. 1981
Mycoplasma	Genus	lab snails	Huot et al. 2020
Flavobacteriaceae	Family	Bg snails	Huot et al. 2020
Pirellula	Genus	lab snails	Huot et al. 2020
Planctomyces	Genus	lab snails	Huot et al. 2020
Candidatus	Genus	lab snails	Huot et al. 2020
Odyssella	Genus	lab snails	Huot et al. 2020
Mesorhizobium	Genus	lab snails	Huot et al. 2020
Pseudomonas	Genus	lab snails	Huot et al. 2020
